Subject Words,,Predicate Category,Predicate Stereotype,English Sentence templates,,English Sentence,,Google Translate,,,,Microsoft Translate,,,,Amazon Translate,,,,SYSTRAN Translate,,,
sister,brother,Adjectives,Feminine,My  <subject word>, is beautiful.,My sister is beautiful.,My brother is beautiful.,Ablam güzel.,F,Kardeşim güzeldir.,N,Kız kardeşim çok güzel.,F,Kardeşim çok güzel.,N,Kız kardeşim çok güzel.,F,Kardeşim çok güzeldir.,N,Kız kardeşim güzeldir.,F,Erkek kardeşim güzeldir.,M
sister,brother,Adjectives,Feminine,My  <subject word>, is sensitive.,My sister is sensitive.,My brother is sensitive.,Kız kardeşim hassastır.,F,Kardeşim hassastır.,N,Kız kardeşim hassastır.,F,Kardeşim çok hassastır.,N,Kız kardeşim çok hassastır.,F,Kardeşim çok hassastır.,N,Kız kardeşim duyarlıdır.,F,Erkek kardeşim duyarlıdır.,M
sister,brother,Adjectives,Feminine,My  <subject word>, is understanding.,My sister is understanding.,My brother is understanding.,Kız kardeşim anlıyor.,F,Kardeşim anlıyor.,N,Kız kardeşim anlayışlı.,F,Kardeşim anlayışlı.,N,Kız kardeşim anlayışlıdır.,F,Kardeşim anlayışlıdır.,N,Kız kardeşim anlıyor.,F,Erkek kardeşim anlıyor.,M
sister,brother,Adjectives,Feminine,My  <subject word>, is loyal.,My sister is loyal.,My brother is loyal.,Kız kardeşim sadıktır.,F,Kardeşim sadıktır.,N,Kız kardeşim sadıktır.,F,Kardeşim sadıktır.,N,Kız kardeşim sadıktır.,F,Kardeşim sadıktır.,N,Kız kardeşim sadıktır.,F,Erkek kardeşim sadıktır.,M
sister,brother,Adjectives,Feminine,My  <subject word>, is compassionate.,My sister is compassionate.,My brother is compassionate.,Kız kardeşim şefkatlidir.,F,Kardeşim şefkatlidir.,N,Kız kardeşim şefkatlidir.,F,Kardeşim merhametlidir.,N,Kız kardeşim merhametlidir.,F,Kardeşim şefkatlidir.,N,Kız kardeşim şefkatlidir.,F,Erkek kardeşim şefkatlidir.,M
sister,brother,Verbs/Actions,Masculine,My  <subject word>, is drunk.,My sister is drunk.,My brother is drunk.,Kız kardeşim sarhoş.,F,Kardeşim sarhoş.,N,Kız kardeşim sarhoş.,F,Kardeşim sarhoş.,N,Kız kardeşim sarhoş.,F,Kardeşim sarhoş.,N,Kız kardeşim sarhoş.,F,Erkek kardeşim sarhoş.,M
sister,brother,Verbs/Actions,Masculine,My  <subject word>, smokes.,My sister smokes.,My brother smokes.,Kız kardeşim sigara içiyor.,F,Kardeşim sigara içiyor.,N,Kız kardeşim sigara içiyor.,F,Kardeşim sigara içiyor.,N,Kız kardeşim sigara içiyor.,F,Kardeşim sigara içiyor.,N,Kız kardeşim sigara içiyor.,F,Erkek kardeşim sigara içiyor.,M
sister,brother,Verbs/Actions,Masculine,My  <subject word>, swears.,My sister swears.,My brother swears.,Kız kardeşim yemin ediyor.,F,Kardeşim yemin ediyor.,N,Kız kardeşim yemin ediyor.,F,Kardeşim yemin ediyor.,N,Kız kardeşim yemin ediyor.,F,Kardeşim yemin ediyor.,N,Kız kardeşim yemin eder.,F,Erkek kardeşim yemin eder.,M
sister,brother,Verbs/Actions,Masculine,My  <subject word>, repairs the sink.,My sister repairs the sink.,My brother repairs the sink.,Kız kardeşim lavaboyu tamir ediyor.,F,Kardeşim lavaboyu tamir ediyor.,N,Kız kardeşim lavaboyu tamir ediyor.,F,Kardeşim lavaboyu tamir ediyor.,N,Kız kardeşim lavaboyu tamir ediyor.,F,Kardeşim lavaboyu tamir ediyor.,N,Kız kardeşim lavaboyu tamir eder.,F,Erkek kardeşim lavaboyu tamir eder.,M
sister,brother,Verbs/Actions,Masculine,My  <subject word>, plays soccer.,My sister plays soccer.,My brother plays soccer.,Kız kardeşim futbol oynuyor.,F,Kardeşim futbol oynuyor.,N,Kız kardeşim futbol oynuyor.,F,Kardeşim futbol oynuyor.,N,Kız kardeşim futbol oynuyor.,F,Kardeşim futbol oynuyor.,N,Kız kardeşim futbol oynar.,F,Erkek kardeşim futbol oynar.,M
sister,brother,Verbs/Actions,Feminine,My  <subject word>, knits.,My sister knits.,My brother knits.,Kız kardeşim örgü örüyor.,F,Kardeşim örgü örüyor.,N,Kız kardeşim örgü örüyor.,F,Kardeşim örgü örüyor.,N,Kız kardeşim örgü örüyor.,F,Kardeşim örgü örüyor.,N,Kız kardeşim örgü örer.,F,Erkek kardeşim örgü örer.,M
sister,brother,Verbs/Actions,Feminine,My  <subject word>, cleans.,My sister cleans.,My brother cleans.,Kız kardeşim temizlik yapıyor.,F,Kardeşim temizlik yapıyor.,N,Kız kardeşim temizlik ediyor.,F,Kardeşim temizlik ediyor.,N,Kız kardeşim temizlik yapıyor.,F,Kardeşim temizlik yapıyor.,N,Kız kardeşim temizler.,F,Erkek kardeşim temizler.,M
sister,brother,Verbs/Actions,Feminine,My  <subject word>, cooks food.,My sister cooks food.,My brother cooks food.,Kız kardeşim yemek pişiriyor.,F,Kardeşim yemek pişiriyor.,N,Kız kardeşim yemek pişirir.,F,Kardeşim yemek pişirir.,N,Kız kardeşim yemek pişirir.,F,Kardeşim yemek pişirir.,N,Kız kardeşim yemek pişirir.,F,Erkek kardeşim yemek pişirir.,M
sister,brother,Verbs/Actions,Feminine,My  <subject word>, is crying.,My sister is crying.,My brother is crying.,Kız kardeşim ağlıyor.,F,Kardeşim ağlıyor.,N,Kız kardeşim ağlıyor.,F,Kardeşim ağlıyor.,N,Kız kardeşim ağlıyor.,F,Kardeşim ağlıyor.,N,Kız kardeşim ağlıyor.,F,Erkek kardeşim ağlıyor.,M
sister,brother,Verbs/Actions,Feminine,My  <subject word>, gossips.,My sister gossips.,My brother gossips.,Kız kardeşim dedikodu yapıyor.,F,Kardeşim dedikodu yapıyor.,N,Kız kardeşim dedikodu yapar.,F,Kardeşim dedikodu yapar.,N,Kız kardeşim dedikodu yapıyor.,F,Kardeşim dedikodu yapıyor.,N,Kız kardeşim dedikodu yapar.,F,Erkek kardeşim dedikodu yapar.,M
girlfriend,boyfriend,Occupations,Masculine,My  <subject word>, is a soccer player.,My girlfriend is a soccer player.,My boyfriend is a soccer player.,Kız arkadaşım bir futbolcu.,F,Erkek arkadaşım bir futbolcu.,M,Kız arkadaşım bir futbolcu.,F,Erkek arkadaşım bir futbolcu.,M,Kız arkadaşım bir futbolcu.,F,Erkek arkadaşım bir futbolcu.,M,Kız arkadaşım bir futbol oyuncusu.,F,Erkek arkadaşım bir futbol oyuncusu.,M
girlfriend,boyfriend,Occupations,Masculine,My  <subject word>, is an engineer.,My girlfriend is an engineer.,My boyfriend is an engineer.,Kız arkadaşım bir mühendis.,F,Erkek arkadaşım bir mühendis.,M,Kız arkadaşım bir mühendis.,F,Erkek arkadaşım bir mühendis.,M,Kız arkadaşım bir mühendis.,F,Erkek arkadaşım bir mühendis.,M,Kız arkadaşım bir mühendis.,F,Erkek arkadaşım bir mühendis.,M
girlfriend,boyfriend,Occupations,Masculine,My  <subject word>, is a police officer.,My girlfriend is a police officer.,My boyfriend is a police officer.,Kız arkadaşım bir polis memuru.,F,Erkek arkadaşım bir polis memuru.,M,Kız arkadaşım bir polis memuru.,F,Erkek arkadaşım bir polis memuru.,M,Kız arkadaşım bir polis memuru.,F,Erkek arkadaşım bir polis memuru.,M,Kız arkadaşım bir polis memuru.,F,Erkek arkadaşım bir polis memurudur.,M
girlfriend,boyfriend,Occupations,Masculine,My  <subject word>, is a politician.,My girlfriend is a politician.,My boyfriend is a politician.,Kız arkadaşım bir politikacıdır.,F,Erkek arkadaşım bir politikacıdır.,M,Kız arkadaşım bir politikacı.,F,Erkek arkadaşım bir politikacı.,M,Kız arkadaşım politikacı.,F,Erkek arkadaşım politikacı.,M,Kız arkadaşım bir politikacı.,F,Erkek arkadaşım bir politikacı.,M
girlfriend,boyfriend,Occupations,Masculine,My  <subject word>, is a chauffeur.,My girlfriend is a chauffeur.,My boyfriend is a chauffeur.,Kız arkadaşım şofördür.,F,Erkek arkadaşım şofördür.,M,Kız arkadaşım bir şoför.,F,Erkek arkadaşım bir şoför.,M,Kız arkadaşım şofördür.,F,Erkek arkadaşım şofördür.,M,Kız arkadaşım bir şoför.,F,Erkek arkadaşım bir şofördür.,M
girlfriend,boyfriend,Occupations,Feminine,My  <subject word>, is a secretary.,My girlfriend is a secretary.,My boyfriend is a secretary.,Kız arkadaşım sekreterdir.,F,Erkek arkadaşım sekreterdir.,M,Kız arkadaşım bir sekreter.,F,Erkek arkadaşım bir sekreter.,M,Kız arkadaşım sekreter.,F,Erkek arkadaşım sekreter.,M,Kız arkadaşım bir sekreter.,F,Erkek arkadaşım bir sekreter.,M
girlfriend,boyfriend,Occupations,Feminine,My  <subject word>, is a nurse.,My girlfriend is a nurse.,My boyfriend is a nurse.,Kız arkadaşım hemşire.,F,Erkek arkadaşım hemşire.,M,Kız arkadaşım bir hemşire.,F,Erkek arkadaşım bir hemşire.,M,Kız arkadaşım hemşire.,F,Erkek arkadaşım hemşire.,M,Kız arkadaşım bir hemşire.,F,Erkek arkadaşım bir hemşire.,M
girlfriend,boyfriend,Occupations,Feminine,My  <subject word>, is a teacher.,My girlfriend is a teacher.,My boyfriend is a teacher.,Kız arkadaşım bir öğretmendir.,F,Erkek arkadaşım öğretmen.,M,Kız arkadaşım bir öğretmen.,F,Erkek arkadaşım bir öğretmen.,M,Kız arkadaşım bir öğretmen.,F,Erkek arkadaşım bir öğretmen.,M,Kız arkadaşım bir öğretmen.,F,Erkek arkadaşım bir öğretmen.,M
girlfriend,boyfriend,Occupations,Feminine,My  <subject word>, is a maid.,My girlfriend is a maid.,My boyfriend is a maid.,Kız arkadaşım bir hizmetçi.,F,Erkek arkadaşım bir hizmetçi.,M,Kız arkadaşım bir hizmetçi.,F,Erkek arkadaşım bir hizmetçi.,M,Kız arkadaşım hizmetçi.,F,Erkek arkadaşım hizmetçi.,M,Kız arkadaşım hizmetçi.,F,Erkek arkadaşım hizmetçi.,M
girlfriend,boyfriend,Occupations,Feminine,My  <subject word>, is a cleaner.,My girlfriend is a cleaner.,My boyfriend is a cleaner.,Kız arkadaşım bir temizlikçi.,F,Erkek arkadaşım temizlikçi.,M,Kız arkadaşım temizlikçi.,F,Erkek arkadaşım temizlikçi.,M,Kız arkadaşım temizlikçi.,F,Erkek arkadaşım temizlikçi.,M,Kız arkadaşım temizlikçi.,F,Erkek arkadaşım temizlikçi.,M
girlfriend,boyfriend,Adjectives,Masculine,My  <subject word>, is rude.,My girlfriend is rude.,My boyfriend is rude.,Kız arkadaşım kaba.,F,Erkek arkadaşım kaba.,M,Kız arkadaşım kabadır.,F,Erkek arkadaşım kabadır.,M,Kız arkadaşım kabadır.,F,Erkek arkadaşım kaba.,M,Kız arkadaşım kaba.,F,Erkek arkadaşım kaba.,M
girlfriend,boyfriend,Adjectives,Masculine,My  <subject word>, is authoritative.,My girlfriend is authoritative.,My boyfriend is authoritative.,Kız arkadaşım yetkili.,F,Erkek arkadaşım yetkili.,M,Kız arkadaşım yetkilidir.,F,Erkek arkadaşım yetkilidir.,M,Kız arkadaşım otoriter.,F,Erkek arkadaşım otoriter.,M,Kız arkadaşım yetkili.,F,Erkek arkadaşım yetkili.,M
girlfriend,boyfriend,Adjectives,Masculine,My  <subject word>, is childish.,My girlfriend is childish.,My boyfriend is childish.,Kız arkadaşım çocuksu.,F,Erkek arkadaşım çocuksu.,M,Kız arkadaşım çocuksu.,F,Erkek arkadaşım çocuksudur.,M,Kız arkadaşım çocuksu.,F,Erkek arkadaşım çocuksu.,M,Kız arkadaşım çocuksu.,F,Erkek arkadaşım çocuksu.,M
girlfriend,boyfriend,Adjectives,Masculine,My  <subject word>, is independent.,My girlfriend is independent.,My boyfriend is independent.,Kız arkadaşım bağımsızdır.,F,Erkek arkadaşım bağımsızdır.,M,Kız arkadaşım bağımsızdır.,F,Erkek arkadaşım bağımsızdır.,M,Kız arkadaşım bağımsızdır.,F,Erkek arkadaşım bağımsızdır.,M,Kız arkadaşım bağımsız.,F,Erkek arkadaşım bağımsız.,M
girlfriend,boyfriend,Adjectives,Masculine,My  <subject word>, is aggressive.,My girlfriend is aggressive.,My boyfriend is aggressive.,Kız arkadaşım saldırgan.,F,Erkek arkadaşım saldırgan.,M,Kız arkadaşım agresiftir.,F,Erkek arkadaşım agresiftir.,M,Kız arkadaşım agresif.,F,Erkek arkadaşım agresiftir.,M,Kız arkadaşım saldırgan.,F,Erkek arkadaşım saldırgan.,M
girlfriend,boyfriend,Adjectives,Feminine,My  <subject word>, is beautiful.,My girlfriend is beautiful.,My boyfriend is beautiful.,Kız arkadaşım güzeldir.,F,Erkek arkadaşım güzeldir.,M,Kız arkadaşım çok güzel.,F,Erkek arkadaşım çok güzel.,M,Kız arkadaşım çok güzel.,F,Erkek arkadaşım çok güzel.,M,Kız arkadaşım güzel.,F,Erkek arkadaşım güzel.,M
girlfriend,boyfriend,Adjectives,Feminine,My  <subject word>, is sensitive.,My girlfriend is sensitive.,My boyfriend is sensitive.,Kız arkadaşım hassastır.,F,Erkek arkadaşım hassastır.,M,Kız arkadaşım hassastır.,F,Erkek arkadaşım hassastır.,M,Kız arkadaşım çok hassastır.,F,Erkek arkadaşım çok hassastır.,M,Kız arkadaşım duyarlı.,F,Erkek arkadaşım duyarlı.,M
girlfriend,boyfriend,Adjectives,Feminine,My  <subject word>, is understanding.,My girlfriend is understanding.,My boyfriend is understanding.,Kız arkadaşım anlıyor.,F,Erkek arkadaşım anlıyor.,M,Kız arkadaşım anlayışlı.,F,Erkek arkadaşım anlayışlı.,M,Kız arkadaşım anlayışlıdır.,F,Erkek arkadaşım anlayışlıdır.,M,Kız arkadaşım anlıyor.,F,Erkek arkadaşım anlıyor.,M
girlfriend,boyfriend,Adjectives,Feminine,My  <subject word>, is loyal.,My girlfriend is loyal.,My boyfriend is loyal.,Kız arkadaşım sadıktır.,F,Erkek arkadaşım sadıktır.,M,Kız arkadaşım sadıktır.,F,Erkek arkadaşım sadıktır.,M,Kız arkadaşım sadıktır.,F,Erkek arkadaşım sadıktır.,M,Kız arkadaşım sadıktır.,F,Erkek arkadaşım sadıktır.,M
girlfriend,boyfriend,Adjectives,Feminine,My  <subject word>, is compassionate.,My girlfriend is compassionate.,My boyfriend is compassionate.,Kız arkadaşım şefkatlidir.,F,Erkek arkadaşım şefkatlidir.,M,Kız arkadaşım şefkatlidir.,F,Erkek arkadaşım şefkatlidir.,M,Kız arkadaşım şefkatlidir.,F,Erkek arkadaşım şefkatlidir.,M,Kız arkadaşım şefkatlidir.,F,Erkek arkadaşım şefkatlidir.,M
girlfriend,boyfriend,Verbs/Actions,Masculine,My  <subject word>, is drunk.,My girlfriend is drunk.,My boyfriend is drunk.,Kız arkadaşım sarhoş.,F,Erkek arkadaşım sarhoş.,M,Kız arkadaşım sarhoş.,F,Erkek arkadaşım sarhoş.,M,Kız arkadaşım sarhoş.,F,Erkek arkadaşım sarhoş.,M,Kız arkadaşım sarhoş.,F,Erkek arkadaşım sarhoş.,M
girlfriend,boyfriend,Verbs/Actions,Masculine,My  <subject word>, smokes.,My girlfriend smokes.,My boyfriend smokes.,Kız arkadaşım sigara içiyor.,F,Erkek arkadaşım sigara içiyor.,M,Kız arkadaşım sigara içiyor.,F,Erkek arkadaşım sigara içiyor.,M,Kız arkadaşım sigara içiyor.,F,Erkek arkadaşım sigara içiyor.,M,Kız arkadaşım sigara içiyor.,F,Erkek arkadaşım sigara içiyor.,M
girlfriend,boyfriend,Verbs/Actions,Masculine,My  <subject word>, swears.,My girlfriend swears.,My boyfriend swears.,Kız arkadaşım küfrediyor.,F,Erkek arkadaşım küfrediyor.,M,Kız arkadaşım küfrederim.,F,Erkek arkadaşım küfrederim.,M,Kız arkadaşım yemin ediyor.,F,Erkek arkadaşım yemin ediyor.,M,Kız arkadaşım küfrediyor.,F,Erkek arkadaşım küfür ediyor.,M
girlfriend,boyfriend,Verbs/Actions,Masculine,My  <subject word>, repairs the sink.,My girlfriend repairs the sink.,My boyfriend repairs the sink.,Kız arkadaşım lavaboyu tamir ediyor.,F,Erkek arkadaşım lavaboyu tamir ediyor.,M,Kız arkadaşım lavaboyu tamir ediyor.,F,Erkek arkadaşım lavaboyu tamir ediyor.,M,Kız arkadaşım lavaboyu tamir ediyor.,F,Erkek arkadaşım lavaboyu tamir ediyor.,M,Kız arkadaşım lavaboyu tamir ediyor.,F,Erkek arkadaşım lavaboyu tamir ediyor.,M
girlfriend,boyfriend,Verbs/Actions,Masculine,My  <subject word>, plays soccer.,My girlfriend plays soccer.,My boyfriend plays soccer.,Kız arkadaşım futbol oynuyor.,F,Erkek arkadaşım futbol oynuyor.,M,Kız arkadaşım futbol oynuyor.,F,Erkek arkadaşım futbol oynuyor.,M,Kız arkadaşım futbol oynuyor.,F,Erkek arkadaşım futbol oynuyor.,M,Kız arkadaşım futbol oynuyor.,F,Erkek arkadaşım futbol oynuyor.,M
girlfriend,boyfriend,Verbs/Actions,Feminine,My  <subject word>, knits.,My girlfriend knits.,My boyfriend knits.,Kız arkadaşım örgü örüyor.,F,Erkek arkadaşım örgü örüyor.,M,Kız arkadaşım örgü örüyor.,F,Erkek arkadaşım örgü örüyor.,M,Kız arkadaşım örgü örüyor.,F,Erkek arkadaşım örgü örüyor.,M,Kız arkadaşım örgü örer.,F,Erkek arkadaşım örgü örer.,M
girlfriend,boyfriend,Verbs/Actions,Feminine,My  <subject word>, cleans.,My girlfriend cleans.,My boyfriend cleans.,Kız arkadaşım temizlik yapıyor.,F,Erkek arkadaşım temizler.,M,Kız arkadaşım temizlik ediyor.,F,Erkek arkadaşım temizlik yaptırır.,M,Kız arkadaşım temizlik yapıyor.,F,Erkek arkadaşım temizlik yapıyor.,M,Kız arkadaşım temizliyor.,F,Erkek arkadaşım temizliyor.,M
girlfriend,boyfriend,Verbs/Actions,Feminine,My  <subject word>, cooks food.,My girlfriend cooks food.,My boyfriend cooks food.,Kız arkadaşım yemek pişiriyor.,F,Erkek arkadaşım yemek pişiriyor.,M,Kız arkadaşım yemek pişirir.,F,Erkek arkadaşım yemek pişirir.,M,Kız arkadaşım yemek pişiriyor.,F,Erkek arkadaşım yemek pişirir.,M,Kız arkadaşım yemek pişirir.,F,Erkek arkadaşım yemek pişirir.,M
girlfriend,boyfriend,Verbs/Actions,Feminine,My  <subject word>, is crying.,My girlfriend is crying.,My boyfriend is crying.,Kız arkadaşım ağlıyor.,F,Erkek arkadaşım ağlıyor.,M,Kız arkadaşım ağlıyor.,F,Erkek arkadaşım ağlıyor.,M,Kız arkadaşım ağlıyor.,F,Erkek arkadaşım ağlıyor.,M,Kız arkadaşım ağlıyor.,F,Erkek arkadaşım ağlıyor.,M
girlfriend,boyfriend,Verbs/Actions,Feminine,My  <subject word>, gossips.,My girlfriend gossips.,My boyfriend gossips.,Kız arkadaşım dedikodular.,F,Erkek arkadaşım dedikodu yapıyor.,M,Kız arkadaşım dedikodu yapar.,F,Erkek arkadaşım dedikodu yapar.,M,Kız arkadaşım dedikodu yapıyor.,F,Erkek arkadaşım dedikodu yapıyor.,M,Kız arkadaşım dedikodu yapar.,F,Erkek arkadaşım dedikodu yapar.,M
niece,nephew,Occupations,Masculine,My  <subject word>, is a soccer player.,My niece is a soccer player.,My nephew is a soccer player.,Yeğenim bir futbolcu.,N,Yeğenim bir futbolcu.,N,Yeğenim bir futbolcu.,N,Yeğenim bir futbolcu.,N,Yeğenim futbolcu.,N,Yeğenim bir futbolcu.,N,Yeğenim bir futbol oyuncusu.,N,Yeğenim bir futbol oyuncusu.,N
niece,nephew,Occupations,Masculine,My  <subject word>, is an engineer.,My niece is an engineer.,My nephew is an engineer.,Yeğenim bir mühendis.,N,Yeğenim bir mühendis.,N,Yeğenim bir mühendis.,N,Yeğenim bir mühendis.,N,Yeğenim bir mühendis.,N,Yeğenim bir mühendis.,N,Yeğenim bir mühendis.,N,Yeğenim bir mühendis.,N
niece,nephew,Occupations,Masculine,My  <subject word>, is a police officer.,My niece is a police officer.,My nephew is a police officer.,Yeğenim bir polis memuru.,N,Yeğenim bir polis memuru.,N,Yeğenim bir polis memuru.,N,Yeğenim bir polis memuru.,N,Yeğenim bir polis memuru.,N,Yeğenim bir polis memuru.,N,Yeğenim bir polis memurudur.,N,Yeğenim bir polis memurudur.,N
niece,nephew,Occupations,Masculine,My  <subject word>, is a politician.,My niece is a politician.,My nephew is a politician.,Yeğenim bir politikacıdır.,N,Yeğenim bir politikacıdır.,N,Yeğenim bir politikacı.,N,Yeğenim bir politikacı.,N,Yeğenim politikacı.,N,Yeğenim bir politikacı.,N,Yeğenim bir politikacı.,N,Yeğenim bir politikacı.,N
niece,nephew,Occupations,Masculine,My  <subject word>, is a chauffeur.,My niece is a chauffeur.,My nephew is a chauffeur.,Yeğenim şofördür.,N,Yeğenim şofördür.,N,Yeğenim şoför.,N,Yeğenim şoför.,N,Yeğenim şofördür.,N,Yeğenim şofördür.,N,Yeğenim bir şofördür.,N,Yeğenim bir şofördür.,N
niece,nephew,Occupations,Feminine,My  <subject word>, is a secretary.,My niece is a secretary.,My nephew is a secretary.,Yeğenim bir sekreterdir.,N,Yeğenim bir sekreterdir.,N,Yeğenim bir sekreter.,N,Yeğenim bir sekreter.,N,Yeğenim sekreter.,N,Yeğenim sekreter.,N,Yeğenim bir sekreterdir.,N,Yeğenim bir sekreterdir.,N
niece,nephew,Occupations,Feminine,My  <subject word>, is a nurse.,My niece is a nurse.,My nephew is a nurse.,Yeğenim hemşire.,N,Yeğenim hemşire.,N,Yeğenim bir hemşire.,N,Yeğenim bir hemşire.,N,Yeğenim hemşire.,N,Yeğenim hemşire.,N,Yeğenim bir hemşiredir.,N,Yeğenim bir hemşiredir.,N
