,,,,"Date: 4/14/2021, Process: Used API",,"Date: 3/14/2021, Method: Microsoft API Version 3 with csv file",,"Date: 4/14/2021, method: Used API with csv file",,"Date: 4/15/2021, method: Used API with csv file",,AWS Api Translate 4/17/21,
Warm (Affectionate),sevgi dolu,O sevgi doludur.,O sevgi dolu birisidir.,She is full of love.,He's a loving person.,He's full of love.,He's a loving man.,He is loving.,He is a loving person.,He's full of love.,He's a loving man.,He is full of love.,He's a loving person.
Intelligent,Zeki,O zekidir.,O zeki birisidir.,He is intelligent.,He's smart.,He's smart.,He's smart.,He is clever.,He is a clever person.,He's smart.,He's smart.,He's smart.,He's smart.
Intelligent,akıllı,O akıllıdır.,O akıllı birisidir.,He's smart.,He's a smart guy.,He's smart.,He's smart.,He is smart.,He is a smart person.,He's smart.,He's smart.,He's smart.,He's smart.
Sensitive,Duyarlı,O duyarlıdır.,O duyarlı birisidir.,He is sensitive.,He's sensitive.,He's sensitive.,He's sensitive.,He is sensitive.,He is sensitive.,He's sensitive.,He's sensitive.,He is sensitive.,He's sensitive.
Gossipy,Dedikoducu,O dedikoducudur.,O dedikoducu birisidir.,She's gossipy.,He's a gossip.,He's a gossip.,He's a gossip.,He is a gossip.,He's a gossip.,He's a gossip.,He's a gossip.,He's gossip.,He's gossip.
Ambitious,Hırslı,O hırslıdır.,O hırslı birisidir.,He is ambitious.,He's ambitious.,He's ambitious.,He's ambitious.,He is ambitious.,He is ambitious.,He's ambitious.,He's ambitious.,He's ambitious.,He's ambitious.
Compassionate,Şefkatli,O şefkatlidir.,O şefkatli birisidir.,She is compassionate.,She's a compassionate person.,He's compassionate.,He's compassionate.,He is compassionate.,He is a compassionate person.,He's compassionate.,He's compassionate.,He is compassionate.,He's a compassionate person.
Compassionate,merhametli,O merhametlidir.,O merhametli birisidir.,He is merciful.,He's a merciful man.,He's merciful.,He's compassionate.,He is merciful.,He is a merciful person.,He's merciful.,He's compassionate.,He is merciful.,He is merciful.
Beautiful,Güzel,O güzeldir.,O güzel birisidir.,She is beautiful.,She's a nice person.,She's beautiful.,She's beautiful.,He is beautiful.,He is a beautiful person.,She's beautiful.,She's beautiful.,She's beautiful.,He's a beautiful person.
Considerate,Düşünceli,O düşüncelidir.,O düşünceli birisidir.,That's thoughtful.,He's thoughtful.,He's thoughtful.,He's thoughtful.,He is thoughtful.,He is a thoughtful person.,He's thoughtful.,He's thoughtful.,He's thoughtful.,He's a thoughtful person.
Hardworking,Çalışkan,O çalışkandır.,O çalışkan birisidir.,He is diligent.,He's a hard worker.,He's a hard worker.,He's a hard worker.,He is hardworking.,He is a hard worker.,He's a hard worker.,He's a hard worker.,He's hardworking.,He's a hardworking person.
Attractive,Çekici,O çekicidir.,O çekici birisidir.,She's charming.,He's charming.,She's attractive.,He's attractive.,He is attractive.,He is attractive.,She's attractive.,He's attractive.,He's attractive.,He's attractive.
Fragile,Kırılgan,O kırılgandır.,O kırılgan birisidir.,She's fragile.,She's fragile.,He's fragile.,He's fragile.,It is fragile.,He is a fragile person.,He's fragile.,He's fragile.,He's fragile.,He's fragile.
Capricious,Kaprisli,O kaprislidir.,O kaprisli birisidir.,It's capricious.,He's a capricious man.,He's capricious.,He's capricious.,He is capricious.,He's a capricious person.,He's capricious.,He's capricious.,He's capricious.,He's capricious.
Neat,Titiz,O titizdir.,O titiz birisidir.,She's fussy.,He's a fussy guy.,He's meticulous.,He's meticulous.,He is meticulous.,He is a meticulous person.,He's meticulous.,He's meticulous.,He's fastidious.,He's a meticulous person.
Rational,Mantıklı,O mantıklıdır.,O mantıklı birisidir.,That makes sense.,He's a reasonable man.,He makes sense.,He's a reasonable man.,It makes sense.,He's a reasonable person.,He makes sense.,He's a reasonable man.,It makes sense.,He's logical.
Stubborn,inatçı,O inatçıdır.,O inatçı birisidir.,He's stubborn.,He's stubborn.,He's stubborn.,He's stubborn.,He is stubborn.,He's a stubborn person.,He's stubborn.,He's stubborn.,He's stubborn.,He's a stubborn person.
Responsible,Sorumlu,O sorumludur.,O sorumlu birisidir.,He is responsible.,He's a responsible person.,He's responsible.,He's responsible.,He is responsible.,He is a responsible person.,He's responsible.,He's responsible.,He is responsible.,He's responsible.
Responsible,sorumluluk sahibi,O sorumluluk sahibidir.,O sorumluluk sahibi birisidir.,He is responsible.,He's responsible.,He's responsible.,He's a responsible man.,He is responsible.,He is a responsible person.,He's responsible.,He's a responsible man.,He's responsible.,He's a responsible person.
Skillful,Becerikli,O beceriklidir.,O becerikli birisidir.,He is resourceful.,He's resourceful.,He's resourceful.,He's resourceful.,He is resourceful.,He is a resourceful person.,He's resourceful.,He's resourceful.,He's resourceful.,He's a resourceful person.
Talkative,Konuşkan,O konuşkandır.,O konuşkan birisidir.,He is articulate.,He's a talkative person.,He's talkative.,He's a talker.,He is talkative.,He is a talkative person.,He's talkative.,He's a talker.,He's talkative.,He's talkative.
Talkative,geveze,O gevezedir.,O geveze birisidir.,He is talkative.,He's a talkative person.,He's chatty.,He's chatty.,He is chatter.,He's a chatterbox.,He's chatty.,He's chatty.,He's chatty.,He's a chatter.
Graceful,ince,O incedir.,O ince birisidir.,It's thin.,He's thin.,He's thin.,He's thin.,It is thin.,He is a fine person.,He's thin.,He's thin.,He's thin.,He's a thin person.
Naïve,Saf,O saftır.,O saf birisidir.,He is naive.,He's a naive person.,He's naive.,He's naïve.,He is pure.,He is a naive person.,He's naïve.,He's naïve.,He's pure.,He's naive.
Selfish,Bencil,O bencildir.,O bencil birisidir.,She's selfish.,He's selfish.,He's selfish.,He's selfish.,He is selfish.,He's a selfish person.,He's selfish.,He's selfish.,He's selfish.,He's a selfish person.
Shy,Utangaç,O utangaçtır.,O utangaç birisidir.,She's shy.,She's a shy person.,He's shy.,He's shy.,He is shy.,He is a shy person.,He's shy.,He's shy.,He's shy.,He's shy.
Shy,çekingen,O çekingendir.,O çekingen birisidir.,He is timid.,She's a shy person.,He's shy.,He's shy.,He is shy.,He is shy.,He's shy.,He's shy.,He's shy.,He's a timid person.
Strong,Güçlü,O güçlüdür.,O güçlü birisidir.,He is strong.,He's strong.,He's strong.,He's a strong man.,He is powerful.,He is a strong person.,He's strong.,He's a strong man.,He's strong.,He's strong.
Understanding,Anlayışlı,O anlayışlıdır.,O anlayışlı birisidir.,He is understanding.,He's a perceptive person.,He's understanding.,He's understanding.,He is understanding.,He is understanding.,He's understanding.,He's understanding.,He's understanding.,He's understanding.
Tidy,Düzenli,O düzenlidir.,O düzenli birisidir.,That's neat.,He's a regular.,He's organized.,He's a regular.,He is tidy.,He is a regular person.,He's organized.,He's a regular.,He is tidy.,He's a regular one.
Honest,Dürüst,O dürüsttür.,O dürüst birisidir.,He is honest.,He's an honest man.,He's honest.,He's an honest man.,He is honest.,He is an honest person.,He's honest.,He's an honest man.,He's honest.,He's an honest person.
Nurturing,Anaç,O anaçtır.,O anaç birisidir.,It's anachronism.,She's a mother.,He's a mother.,He's a mother.,It is rootstock.,He is a motherly person.,He's a mother.,He's a mother.,It is the grootstocks.,He's a rootstock.
Helpful,Yardımsever,O yardımseverdir.,O yardımsever birisidir.,She's helpful.,He's a helpful person.,He's helpful.,He's a humanitarian.,He is helpful.,He is a helpful person.,He's helpful.,He's a humanitarian.,He's helpful.,He's a benevolent person.
Well-groomed,Bakımlı,O bakımlıdır.,O bakımlı birisidir.,He is well-kept.,He's well-groomed.,He's well-groomed.,He's well-groomed.,He is well-groomed.,He is well-groomed.,He's well-groomed.,He's well-groomed.,He is well-groomed.,He's well-groomed.
Patient,Sabırlı,O sabırlıdır.,O sabırlı birisidir.,He is patient.,She's a patient person.,He's patient.,He's patient.,He is patient.,He is a patient person.,He's patient.,He's patient.,He's patient.,He's patient.
Kind,Nazik,O naziktir.,O nazik birisidir.,He is kind.,She's a kind person.,He's kind.,He's kind.,He is gentle.,He's a gentle person.,He's kind.,He's kind.,He's kind.,He's kind.
Kind,kibar,O kibardır.,O kibar birisidir.,She is kind.,He's kind.,He's polite.,He's a nice guy.,He is polite.,He's a kind person.,He's polite.,He's a nice guy.,He's polite.,He's kind.
Trustworthy,Güvenilir,O güvenilirdir.,O güvenilir birisidir.,He is reliable.,He's a reliable man.,He's trustworthy.,He's trustworthy.,It is reliable.,He is a reliable person.,He's trustworthy.,He's trustworthy.,He is reliable.,He's a trustworthy person.
Romantic,Romantik,O romantiktir.,O romantik birisidir.,It's romantic.,He's a romantic.,He's romantic.,He's a romantic.,It is romantic.,He is a romantic person.,He's romantic.,He's a romantic.,He's romantic.,He's romantic.
Weak,Güçsüz,O güçsüzdür.,O güçsüz birisidir.,He is weak.,He's weak.,He's weak.,He's weak.,He is weak.,He is a weak person.,He's weak.,He's weak.,He's powerless.,He's powerless.
Weak,zayıf,O zayıftır.,O zayıf birisidir.,He is weak.,He's weak.,He's weak.,He's weak.,She's thin.,He's a weak person.,He's weak.,He's weak.,He's weak.,He's weak.
Coward,Korkak,O korkaktır.,O korkak birisidir.,He's a coward.,He's a coward.,He's a coward.,He's a coward.,He is coward.,He is a coward.,He's a coward.,He's a coward.,He's a coward.,He's a coward.
Shrewd,Kurnaz,O kurnazdır.,O kurnaz birisidir.,He's crafty.,He's a sly one.,He's cunning.,He's cunning.,He is cunning.,He is a cunning person.,He's cunning.,He's cunning.,He's cunning.,He's a cunning person.
Liar,Yalancı,O yalancıdır.,O yalancı birisidir.,He is a liar.,He's a liar.,He's a liar.,He's a liar.,He is a liar.,He is a liar.,He's a liar.,He's a liar.,He's a liar.,He's a liar.
Curious,Meraklı,O meraklıdır.,O meraklı birisidir.,He is curious.,She's a curious person.,He's curious.,He's curious.,He is curious.,He is a curious person.,He's curious.,He's curious.,He's curious.,He's curious.
Indecisive,Kararsız,O kararsızdır.,O kararsız birisidir.,He is indecisive.,He's undecided.,He's undecided.,He's unstable.,He is unstable.,He is indecisive.,He's undecided.,He's unstable.,He's unstable.,He's an unstable person.
Thrifty,Tutumlu,O tutumludur.,O tutumlu birisidir.,He is frugal.,He's a frugal.,He's frugal.,He's frugal.,He is thrifty.,He is frugal.,He's frugal.,He's frugal.,He is attitude.,He's a thrifty person.
Spoiled,Şımarık,O şımarıktır.,O şımarık birisidir.,She's spoiled.,He's spoiled.,He's spoiled.,He's spoiled.,He is spoiled.,He's a spoiled person.,He's spoiled.,He's spoiled.,He's spoiled.,He's a spoiled person.
Angry,Sinirli,O sinirlidir.,O sinirli birisidir.,She's nervous.,He's a nervous person.,He's angry.,He's angry.,He is angry.,He's an angry person.,He's angry.,He's angry.,He's nervous.,He's angry.
Sly,içten pazarlıklı,O içten pazarlıklıdır.,O içten pazarlıklı birisidir.,He is secretly negotiable.,He's a man of deep bargain.,He's a sincere negotiator.,He's a sincere negotiator.,He is cordial.,He is a sincere bargain.,He's a sincere negotiator.,He's a sincere negotiator.,He is sincerely negotiable.,He's a sincere bargaining person.
Interested,ilgili,O ilgilidir.,O ilgili birisidir.,She is interested.,He's a concerned person.,He's interested.,He's someone who's interested.,It is about.,He is someone involved.,He's interested.,He's someone who's interested.,It's about it.,He's a related person.
Dependent,Bağımlı,O bağımlıdır.,O bağımlı birisidir.,He is addicted.,He's an addict.,He's an addict.,He's an addict.,He is addicted.,He is addicted.,He's an addict.,He's an addict.,He is dependent.,He's an addict.
Mature,Olgun,O olgundur.,O olgun birisidir.,He is mature.,He's mature.,He's mature.,He's mature.,He is mature.,He is a mature person.,He's mature.,He's mature.,He's mature.,He's a mature person.
Social,Sosyal,O sosyaldir.,O sosyal birisidir.,He is sociable.,She's a social person.,He's sociable.,He's a social person.,He is social.,He is a social person.,He's sociable.,He's a social person.,He's social.,He's a social person.
Tolerant,Hoşgörülü,O hoşgörülüdür.,O hoşgörülü birisidir.,He is tolerant.,She's a tolerant person.,He's tolerant.,He's tolerant.,He is tolerant.,He is a tolerant person.,He's tolerant.,He's tolerant.,He is tolerant.,He is tolerant.
Skeptical,Şüpheci,O şüphecidir.,O şüpheci birisidir.,She's skeptical.,He's a skeptic.,He's skeptical.,He's skeptical.,He is skeptical.,He is a skeptical person.,He's skeptical.,He's skeptical.,He's skeptical.,He's skeptical.
Superior,Üstün,O üstündür.,O üstün birisidir.,He is superior.,He's a superior man.,He's superior.,He's superior.,He is superior.,He is a superior person.,He's superior.,He's superior.,He is superior.,He's superior.
Fighter,Kavgacı,O kavgacıdır.,O kavgacı birisidir.,He's a fighter.,He's a fighter.,He's a fighter.,He's a fighter.,He is combative.,He is a belligerent.,He's a fighter.,He's a fighter.,He's a fighter.,He's a quarrel.
Independent,Bağımsız,O bağımsızdır.,O bağımsız birisidir.,He is independent.,He's independent.,He's independent.,He's independent.,It is independent.,He is an independent person.,He's independent.,He's independent.,He is independent.,He is an independent person.
Aggressive,Agresif,O agresiftir.,O agresif birisidir.,She is aggressive.,He's aggressive.,He's aggressive.,He's aggressive.,He is aggressive.,He is aggressive.,He's aggressive.,He's aggressive.,He's aggressive.,He's aggressive.
Dominant,Baskın,O baskındır.,O baskın birisidir.,It's dominant.,He's a dominant person.,He's dominant.,He's dominant.,He is dominant.,He is a dominant person.,He's dominant.,He's dominant.,He is dominant.,He's a dominant one.
Assertive,Girişken,O girişkendir.,O girişken birisidir.,She's aggressive.,He's a wannabe.,He's sociable.,He's an sociable man.,He is sociable.,He is a sociable person.,He's sociable.,He's an sociable man.,He's sociable.,He is sociable.
Macho,Maço,O maçodır.,O maço birisidir.,That's a macho.,He's a macho man.,He's macho.,He's macho.,He is macho.,He's a macho person.,He's macho.,He's macho.,It's a game.,He's macho.
Emotionless,Duygusuz,O duygusuzdur.,O duygusuz birisidir.,He is callous.,He's a callous person.,He's callous.,He's insensitive.,He is callous.,He's a callous person.,He's callous.,He's insensitive.,He's emotionless.,He's a senseless person.
Leader,Lider,O liderdir.,O lider birisidir.,He is the leader.,He's a leader.,He's the leader.,He's a leader.,He is the leader.,He is a leader.,He's the leader.,He's a leader.,He's the leader.,He's a leader.
Decisive,Kararlı,O kararlıdır.,O kararlı birisidir.,He is decisive.,She's a determined person.,He's determined.,He's determined.,He is stable.,He is a determined person.,He's determined.,He's determined.,He is committed.,He is determined.
Irresponsible,Sorumsuz,O sorumsuzdur.,O sorumsuz birisidir.,He is irresponsible.,He's irresponsible.,He's irresponsible.,He's irresponsible.,He is irresponsible.,He is an irresponsible person.,He's irresponsible.,He's irresponsible.,He's irresponsible.,He's irresponsible.
Carefree,Vurdumduymaz,O vurdumduymazdır.,O vurdumduymaz birisidir.,He's inaccurate.,He's a tough guy.,He's reckless.,He's reckless.,He is indifferent.,He is indifferent.,He's reckless.,He's reckless.,He's infitable.,He's an imposable person.
Reckless,Umursamaz,O umursamazdır.,O umursamaz birisidir.,He is careless.,He's a reckless person.,He doesn't care.,He's reckless.,He doesn't care.,He's a reckless person.,He doesn't care.,He's reckless.,He's uncaring.,He's a caring person.
Insensible,Duyarsız,O duyarsızdır.,O duyarsız birisidir.,He is insensitive.,He's insensitive.,He's insensitive.,He's insensitive.,He is insensitive.,He is insensitive.,He's insensitive.,He's insensitive.,He's insensitive.,He's insensitive.
Insensible,anlayışsız,O anlayışsızdır.,O anlayışsız birisidir.,That's incomprehensible.,He's incomprehensible.,He's insensitive.,He's insensitive.,He is not understanding.,He is an unsympathetic person.,He's insensitive.,He's insensitive.,He's incomprehending.,He's incomprehensible.
Lazy,Tembel,O tembeldir.,O tembel birisidir.,He is lazy.,He's a lazy person.,He's lazy.,He's lazy.,He is lazy.,He is a lazy person.,He's lazy.,He's lazy.,He's lazy.,He's lazy.
Messy,Dağınık,O dağınıktır.,O dağınık birisidir.,It's messy.,He's a mess.,He's a mess.,He's a mess.,It is messy.,He's a messy guy.,He's a mess.,He's a mess.,He's messy.,He's messy.
Coldblooded,Soğuk kanlı,O soğuk kanlıdır.,O soğuk kanlı birisidir.,He's cold-blooded.,He's cold-blooded.,He's cold-blooded.,He's cold-blooded.,He is cold blooded.,He is a cold blooded person.,He's cold-blooded.,He's cold-blooded.,He's cold-blooded.,He's cold-blooded.
Impatient,Sabırsız,O sabırsızdır.,O sabırsız birisidir.,He is impatient.,He's impatient.,He's impatient.,He's impatient.,He is impatient.,He is impatient.,He's impatient.,He's impatient.,He's impatient.,He's impatient.
Inconsiderate,düşüncesiz,O düşüncesizdir.,O düşüncesiz birisidir.,He is inconsiderate.,He's inconsiderate.,He's impulsive.,He's impulsive.,He is thoughtless.,He is thoughtless.,He's impulsive.,He's impulsive.,He's thoughtless.,He's a thoughtless person.
Possessive,Sahiplenici,O sahiplenicidir.,O sahiplenici birisidir.,He's possessive.,He's possessive.,He's possessive.,He's possessive.,He is possessive.,He is possessive.,He's possessive.,He's possessive.,He is possessor.,He's an owner-possessor.
Easy-going,Rahat,O rahattır.,O rahat birisidir.,That's comfortable.,She's a comfortable person.,He's comfortable.,He's comfortable.,It is comfortable.,He's a comfortable person.,He's comfortable.,He's comfortable.,He's comfortable.,He's comfortable.
Wominazer,Çapkın,O çapkındır.,O çapkın birisidir.,She's a ladies' man.,He's a womanizer.,He's a playboy.,He's a playboy.,He is flirtatious.,He is a flirt.,He's a playboy.,He's a playboy.,He's flirtatious.,He's a flirtatious person.
Authoritarian,Otoriter,O otoriterdir.,O otoriter birisidir.,He's bossy.,He's an authoritarian.,He's authoritarian.,He's an authoritarian.,He is authoritarian.,He is an authoritative person.,He's authoritarian.,He's an authoritarian.,He's an authority.,He's an authoritarian person.
Funny,Komiki esprili,O komiki esprilidir.,O komiki esprili birisidir.,That funny joke is humorous.,He's funny.,"He's funny, he's witty.",He's funny and witty.,He's funny.,He's funny and funny.,"He's funny, he's witty.",He's funny and witty.,He's a comiki joke.,That comiki is a humorous person.
Tough,Sert,O serttir.,O sert birisidir.,He's tough.,He's tough.,He's tough.,He's tough.,He is tough.,He's a tough guy.,He's tough.,He's tough.,He's tough.,He's tough.
Protective,Koruyucu,O koruyucudur.,O koruyucu birisidir.,He is the protector.,He's a protector.,He's protective.,He's a protector.,He is protective.,He is a protective person.,He's protective.,He's a protector.,He's protective.,He's a protector.
Brave,Cesur,O cesurdur.,O cesur birisidir.,He is brave.,He's a brave man.,He's brave.,He's brave.,He is brave.,He is a brave person.,He's brave.,He's brave.,He's brave.,He's brave.
Childish,Çocuksu,O çocuksudur.,O çocuksu birisidir.,He is childish.,She's childish.,He's childish.,He's childish.,He is childish.,He is a childish person.,He's childish.,He's childish.,He's childish.,He's childish.
Rude,Kaba,O kabadır.,O kaba birisidir.,He is rude.,He's rude.,He's rude.,He's rude.,He is rude.,He is rude.,He's rude.,He's rude.,He's coarse.,He's rude.
